"Emission_Type","n_states","Mean","Median","SD","Min","Max","% Absolute (β<0)","% Relative (0≤β<1)","% No Decoupling (β≥1)"
"Territorial",50,-0.549046572216546,-0.52341707710572,0.909408720701154,-4.54751647668768,0.924722908642469,76,24,0
"Consumption-based",50,-0.24999013085049,-0.36174217791138,1.02298954906388,-2.21044192532278,5.31233242088822,72,24,4
