"state_code","territorial_elast","territorial_status","territorial_pval","territorial_r2","consumption_elast","consumption_status","consumption_pval","consumption_r2","difference","status_match"
"AK",0.786424012797961,"Relative Decoupling",2.3218626748425e-06,0.55019283909399,5.31233242088822,"No Decoupling",0.0006425744570829,0.851491660121452,4.52590840809026,FALSE
"KY",-4.54751647668768,"Absolute Decoupling",0.000172525800946455,0.81108866093123,-2.21044192532278,"Absolute Decoupling",0.00263410397574504,0.694764839065391,2.3370745513649,TRUE
"ND",0.515088012005907,"Relative Decoupling",0.106955818040247,0.107980120465162,1.84694562182734,"No Decoupling",2.94258064201514e-06,0.881284932855365,1.33185760982143,FALSE
"IN",-1.63969537851793,"Absolute Decoupling",0.00912268097014217,0.528093967996412,-0.320660865352926,"Absolute Decoupling",0.283475148427032,0.0846882478824441,1.319034513165,TRUE
"ME",-1.51124173158591,"Absolute Decoupling",0.000886413133786952,0.818896241367452,-0.34021669407369,"Absolute Decoupling",0.22040175606293,0.22127828538851,1.17102503751222,TRUE
"AL",-2.03132747706839,"Absolute Decoupling",0.00228741036508234,0.688427130469873,-0.970847431311848,"Absolute Decoupling",0.00399328535209076,0.535915114919002,1.06048004575654,TRUE
"UT",-1.64988108426597,"Absolute Decoupling",0.000578550163911407,0.861213907488526,-0.63522541600216,"Absolute Decoupling",0.00351284170718171,0.715937159684123,1.01465566826381,TRUE
"NH",-0.967538812953323,"Absolute Decoupling",0.00806552657721958,0.522018169190125,-0.190668836005452,"Absolute Decoupling",0.302916042841491,0.155708818395748,0.776869976947871,TRUE
"WV",-0.542296036022233,"Absolute Decoupling",0.253494300101317,0.188431357044302,0.213547285156731,"Relative Decoupling",0.551019331493437,0.0510288888518008,0.755843321178965,FALSE
"NV",-0.77915660006481,"Absolute Decoupling",0.0158372399144321,0.67020354993837,-0.0516999730419058,"Absolute Decoupling",0.646997193360696,0.0276278042997303,0.727456627022905,TRUE
"SC",-1.09624378759163,"Absolute Decoupling",0.000296669939591125,0.773675959858485,-0.374198143500165,"Absolute Decoupling",0.0692317269321428,0.372781927246611,0.722045644091469,TRUE
"CO",-0.732397313204094,"Absolute Decoupling",0.000427030823975527,0.88400459837641,-0.0323193240194471,"Absolute Decoupling",0.60343487805441,0.0335639871219066,0.700077989184647,TRUE
"MD",-1.07586338312347,"Absolute Decoupling",0.00227244771875047,0.547017221991568,-0.382144522975828,"Absolute Decoupling",0.0242756191109019,0.35657675047246,0.693718860147638,TRUE
"TN",-1.1362074364768,"Absolute Decoupling",0.00273388004000709,0.764447759738138,-0.491775225414861,"Absolute Decoupling",0.0602960257376622,0.429778503475719,0.644432211061938,TRUE
"MI",-0.322571932646345,"Absolute Decoupling",0.151729656253261,0.28558900909297,0.32080517210323,"Relative Decoupling",0.275091092547982,0.232360333674306,0.643377104749576,FALSE
"AZ",-1.43761126125966,"Absolute Decoupling",0.00248171217207958,0.722796461685405,-0.815791790100962,"Absolute Decoupling",0.00565842291804442,0.620046382501069,0.621819471158696,TRUE
"WY",-0.0726921576340611,"Absolute Decoupling",0.910482727881231,0.000314315044227599,0.487975938611054,"Relative Decoupling",0.580806268990243,0.0149968183356912,0.560668096245115,FALSE
"IL",-1.09672892715041,"Absolute Decoupling",0.0137546202222936,0.541419918790871,-0.572183328953746,"Absolute Decoupling",0.0295561775290304,0.445922377470747,0.524545598196666,TRUE
"NM",-1.15437054386366,"Absolute Decoupling",0.0840805936578985,0.539952169343428,-0.743592323861963,"Absolute Decoupling",0.00239778393873998,0.607084259579711,0.410778220001696,TRUE
"PA",-0.65554966851702,"Absolute Decoupling",0.017293524785034,0.544403398787955,-0.279057551463936,"Absolute Decoupling",0.0781801959553228,0.315107578774776,0.376492117053084,TRUE
"OR",0.00559577403297263,"Relative Decoupling",0.97078795527148,0.000320876918007692,0.342378765602506,"Relative Decoupling",0.0206839525379262,0.605231036590569,0.336782991569533,TRUE
"NY",-0.0285146125892641,"Absolute Decoupling",0.817575664879179,0.00544044020887913,0.301325477198742,"Relative Decoupling",0.159735752209799,0.253072277026035,0.329840089788006,FALSE
"NC",-1.11749506163477,"Absolute Decoupling",0.000133397090724617,0.86248946693991,-0.810564355601591,"Absolute Decoupling",0.00463178431678308,0.634324137084743,0.306930706033179,TRUE
"CA",-0.156271105578912,"Absolute Decoupling",0.0032898649754628,0.792126635045189,0.150352318787871,"Relative Decoupling",0.00311659079275814,0.789934183824782,0.306623424366783,FALSE
